# bin_left_ns bin_right_ns counts
276.4521 277.1091 0
277.1091 277.7661 2
277.7661 278.4231 1
278.4231 279.0801 2
279.0801 279.7370 0
279.7370 280.3940 1
280.3940 281.0510 1
281.0510 281.7080 0
281.7080 282.3650 0
282.3650 283.0220 2
283.0220 283.6789 0
283.6789 284.3359 0
284.3359 284.9929 0
284.9929 285.6499 0
285.6499 286.3069 1
286.3069 286.9639 1
286.9639 287.6208 1
287.6208 288.2778 0
288.2778 288.9348 0
288.9348 289.5918 3
289.5918 290.2488 2
290.2488 290.9058 2
290.9058 291.5627 1
291.5627 292.2197 2
292.2197 292.8767 1
292.8767 293.5337 1
293.5337 294.1907 1
294.1907 294.8477 1
294.8477 295.5046 0
295.5046 296.1616 1
296.1616 296.8186 0
296.8186 297.4756 0
297.4756 298.1326 1
298.1326 298.7896 2
298.7896 299.4465 2
299.4465 300.1035 2
300.1035 300.7605 0
300.7605 301.4175 0
301.4175 302.0745 2
302.0745 302.7315 0
302.7315 303.3885 1
303.3885 304.0454 0
304.0454 304.7024 1
304.7024 305.3594 0
305.3594 306.0164 1
306.0164 306.6734 0
306.6734 307.3304 1
307.3304 307.9873 0
307.9873 308.6443 0
308.6443 309.3013 0
309.3013 309.9583 2
309.9583 310.6153 0
310.6153 311.2723 1
311.2723 311.9292 0
311.9292 312.5862 1
312.5862 313.2432 0
313.2432 313.9002 3
313.9002 314.5572 0
314.5572 315.2142 0
315.2142 315.8711 0
315.8711 316.5281 2
316.5281 317.1851 0
317.1851 317.8421 1
317.8421 318.4991 1
318.4991 319.1561 1
319.1561 319.8130 0
319.8130 320.4700 0
320.4700 321.1270 1
321.1270 321.7840 1
321.7840 322.4410 0
322.4410 323.0980 0
323.0980 323.7549 2
323.7549 324.4119 2
324.4119 325.0689 0
325.0689 325.7259 1
325.7259 326.3829 0
326.3829 327.0399 1
327.0399 327.6969 2
327.6969 328.3538 0
328.3538 329.0108 0
329.0108 329.6678 0
329.6678 330.3248 1
330.3248 330.9818 0
330.9818 331.6388 1
331.6388 332.2957 0
332.2957 332.9527 1
332.9527 333.6097 0
333.6097 334.2667 1
334.2667 334.9237 1
334.9237 335.5807 0
335.5807 336.2376 1
336.2376 336.8946 0
336.8946 337.5516 1
337.5516 338.2086 1
338.2086 338.8656 0
338.8656 339.5226 0
339.5226 340.1795 1
340.1795 340.8365 0
340.8365 341.4935 1
341.4935 342.1505 1
342.1505 342.8075 0
342.8075 343.4645 0
343.4645 344.1214 1
344.1214 344.7784 0
344.7784 345.4354 1
345.4354 346.0924 1
346.0924 346.7494 0
346.7494 347.4064 0
347.4064 348.0633 0
348.0633 348.7203 0
348.7203 349.3773 0
349.3773 350.0343 1
350.0343 350.6913 1
350.6913 351.3483 1
351.3483 352.0052 0
352.0052 352.6622 0
352.6622 353.3192 0
353.3192 353.9762 0
353.9762 354.6332 2
354.6332 355.2902 2
355.2902 355.9472 0
355.9472 356.6041 0
356.6041 357.2611 0
357.2611 357.9181 0
357.9181 358.5751 0
358.5751 359.2321 0
359.2321 359.8891 1
359.8891 360.5460 0
360.5460 361.2030 0
361.2030 361.8600 0
361.8600 362.5170 0
362.5170 363.1740 0
363.1740 363.8310 0
363.8310 364.4879 1
364.4879 365.1449 0
365.1449 365.8019 0
365.8019 366.4589 1
366.4589 367.1159 0
367.1159 367.7729 2
367.7729 368.4298 0
368.4298 369.0868 1
369.0868 369.7438 0
369.7438 370.4008 1
370.4008 371.0578 1
371.0578 371.7148 2
371.7148 372.3717 2
372.3717 373.0287 0
373.0287 373.6857 1
373.6857 374.3427 0
374.3427 374.9997 0
374.9997 375.6567 0
375.6567 376.3136 0
376.3136 376.9706 0
376.9706 377.6276 0
377.6276 378.2846 1
